"Nombre del anuncio",Día,"Nombre de la campaña","Nombre del conjunto de anuncios","Nombre de la página",Anuncios,Edad,Sexo,Objetivo,"Estado de la entrega","Nivel de la entrega","Tipo de resultado",Resultados,"Costo por resultado","Importe gastado (USD)",Impresiones,Alcance,"Configuración de atribución","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios",Frecuencia,"Clics en el enlace","CPC (costo por clic en el enlace)","CPM (costo por mil impresiones)","CTR (todos)","Inicio del informe","Fin del informe"
Video,2025-10-07,"Turnos mañana - Msj","turnos mañana whatsapp",eltemplomdp,Video,45-54,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",5,1.03,5.15,1463,1311,"7 días tras clic o 1 día tras visualización",-,-,-,"turnos mañana whatsapp",1.11594203,14,0.36785714,3.52016405,4.4429255,2025-10-07,2025-10-07
Video,2026-01-21,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,45-54,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",3,1.71666667,5.15,1518,1303,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.16500384,3,1.71666667,3.39262187,0.92226614,2026-01-21,2026-01-21
Video,2026-01-23,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,35-44,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",3,1.7,5.1,2275,1898,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.19863014,8,0.6375,2.24175824,1.27472527,2026-01-23,2026-01-23
Video,2025-10-11,"Turnos mañana - Msj","turnos mañana whatsapp",eltemplomdp,Video,45-54,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",10,0.51,5.1,1334,1236,"7 días tras clic o 1 día tras visualización",-,-,-,"turnos mañana whatsapp",1.07928803,19,0.26842105,3.82308846,4.7976012,2025-10-11,2025-10-11
Video,2026-01-18,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,45-54,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",2,2.54,5.08,1192,1005,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.18606965,9,0.56444444,4.26174497,2.26510067,2026-01-18,2026-01-18
"Reel de 26/12",2025-12-27,"El calamar loco - El Templo","Nuevo conjunto de anuncios de Tráfico",eltemplomdp,"Reel de 26/12",25-34,male,LINK_CLICKS,not_delivering,ad,"Clics en el enlace",117,0.04324786,5.06,18289,16015,"7 días tras clic o 1 día tras visualización",-,-,-,"Nuevo conjunto de anuncios de Tráfico",1.14199188,117,0.04324786,0.27666904,0.71627754,2025-12-27,2025-12-27
Video,2026-01-09,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,35-44,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",9,0.54888889,4.94,2807,2339,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.20008551,17,0.29058824,1.759886,1.81688636,2026-01-09,2026-01-09
Video,2026-01-17,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,35-44,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",5,0.98,4.9,1830,1643,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.11381619,11,0.44545455,2.67759563,2.29508197,2026-01-17,2026-01-17
"Reel ingrid mdp",2025-11-27,"Reconocimiento Ingrid","Publico posturas y movilidad",eltemplomdp,"Reel ingrid mdp",25-34,male,OUTCOME_AWARENESS,not_delivering,ad,Alcance,28364,0.17169652,4.87,29942,28364,"7 días tras clic o 1 día tras visualización",-,-,-,"Publico posturas y movilidad",1.0556339,29,0.16793103,0.16264779,0.13359161,2025-11-27,2025-11-27
Video,2026-01-15,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,35-44,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",3,1.60666667,4.82,2310,2000,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.155,8,0.6025,2.08658009,1.64502165,2026-01-15,2026-01-15
"Reel de 26/12",2025-12-26,"El calamar loco - El Templo","Nuevo conjunto de anuncios de Tráfico",eltemplomdp,"Reel de 26/12",25-34,male,LINK_CLICKS,not_delivering,ad,"Clics en el enlace",96,0.05002568,4.80246533,14384,12632,"7 días tras clic o 1 día tras visualización",-,-,-,"Nuevo conjunto de anuncios de Tráfico",1.13869538,96,0.05002568,0.33387551,0.75083426,2025-12-26,2025-12-26
Video,2026-01-12,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,25-34,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",2,2.395,4.79,3215,2500,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.286,6,0.79833333,1.48989114,0.87091757,2026-01-12,2026-01-12
Video,2026-01-13,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,45-54,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",4,1.195,4.78,1803,1591,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.13324953,8,0.5975,2.65113699,1.27565169,2026-01-13,2026-01-13
Video,2026-01-23,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,45-54,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",6,0.795,4.77,1524,1343,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.1347729,10,0.477,3.12992126,1.77165354,2026-01-23,2026-01-23
Video,2026-01-14,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,35-44,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",7,0.66967492,4.68772441,2397,2075,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.15518072,7,0.66967492,1.95566308,1.71047142,2026-01-14,2026-01-14
Video,2025-12-28,"Preventa Mario Bravo","Interacción a Whatsapp",eltemplomdp,Video,25-34,male,OUTCOME_ENGAGEMENT,not_delivering,ad,"Clics en el enlace",103,0.04504854,4.64,18605,16550,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.12416918,103,0.04504854,0.24939532,0.58048912,2025-12-28,2025-12-28
Video,2026-01-11,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,45-54,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",5,0.926,4.63,1496,1320,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.13333333,13,0.35615385,3.09491979,2.87433155,2026-01-11,2026-01-11
Video,2026-01-11,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,35-44,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",8,0.57625,4.61,2139,1835,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.16566757,10,0.461,2.15521272,1.77653109,2026-01-11,2026-01-11
Video,2026-01-15,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,45-54,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",7,0.65714286,4.6,1339,1177,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.13763806,7,0.65714286,3.43539955,2.24047797,2026-01-15,2026-01-15
Video,2025-10-12,"Turnos mañana - Msj","turnos mañana whatsapp",eltemplomdp,Video,45-54,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",5,0.912,4.56,1325,1242,"7 días tras clic o 1 día tras visualización",-,-,-,"turnos mañana whatsapp",1.0668277,13,0.35076923,3.44150943,3.54716981,2025-10-12,2025-10-12
"Reel de 26/12",2025-12-24,"El calamar loco - El Templo","Nuevo conjunto de anuncios de Tráfico",eltemplomdp,"Reel de 26/12",25-34,male,LINK_CLICKS,not_delivering,ad,"Clics en el enlace",80,0.05675,4.54,9760,8146,"7 días tras clic o 1 día tras visualización",-,-,-,"Nuevo conjunto de anuncios de Tráfico",1.19813405,80,0.05675,0.46516393,0.92213115,2025-12-24,2025-12-24
Video,2025-10-14,"Turnos mañana - Msj","turnos mañana whatsapp",eltemplomdp,Video,45-54,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",6,0.75666667,4.54,1326,1225,"7 días tras clic o 1 día tras visualización",-,-,-,"turnos mañana whatsapp",1.08244898,10,0.454,3.42383107,2.79034691,2025-10-14,2025-10-14
Video,2026-01-26,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,35-44,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",5,0.898,4.49,2145,1779,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.20573356,5,0.898,2.09324009,0.88578089,2026-01-26,2026-01-26
Video,2025-12-24,"Preventa Mario Bravo","Interacción a Whatsapp",eltemplomdp,Video,25-34,male,OUTCOME_ENGAGEMENT,not_delivering,ad,"Clics en el enlace",83,0.05409639,4.49,13848,12510,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.10695444,83,0.05409639,0.32423455,0.67879838,2025-12-24,2025-12-24
Video,2026-01-22,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,35-44,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",3,1.48333333,4.45,2094,1789,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.17048631,7,0.63571429,2.12511939,1.00286533,2026-01-22,2026-01-22
Video,2026-01-17,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,25-34,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",1,4.31,4.31,2149,1711,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.25599065,3,1.43666667,2.00558399,1.76826431,2026-01-17,2026-01-17
Video,2026-01-13,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,25-34,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",2,2.155,4.31,3396,2713,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.25175083,10,0.431,1.26914016,1.59010601,2026-01-13,2026-01-13
Video,2025-10-07,"Turnos mañana - Msj","turnos mañana whatsapp",eltemplomdp,Video,55-64,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",5,0.862,4.31,794,695,"7 días tras clic o 1 día tras visualización",-,-,-,"turnos mañana whatsapp",1.14244604,11,0.39181818,5.42821159,6.17128463,2025-10-07,2025-10-07
"Reel de 26/12",2025-12-25,"El calamar loco - El Templo","Nuevo conjunto de anuncios de Tráfico",eltemplomdp,"Reel de 26/12",25-34,male,LINK_CLICKS,not_delivering,ad,"Clics en el enlace",88,0.04866173,4.28223266,13907,11783,"7 días tras clic o 1 día tras visualización",-,-,-,"Nuevo conjunto de anuncios de Tráfico",1.1802597,88,0.04866173,0.30791922,0.69029985,2025-12-25,2025-12-25
Video,2026-01-06,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,35-44,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",9,0.47333333,4.26,2949,2316,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.27331606,16,0.26625,1.44455748,1.8311292,2026-01-06,2026-01-06
